brands,categories,countries,energy-kcal_100g,fat_100g,nutrition_data,nutrition_data_prepared_per,nutrition_grades,product_name,proteins_100g,fiber_100g,nutrition_data_per,salt_100g,saturated-fat_100g,sugars_100g,nutriments_estimated,serving_quantity,nutrition_data_prepared,no_nutrition_data
Amora,Moutardes de Dijon,"France, Germany, Morocco, en:switzerland",145.0,10.0,on,100g,e,Amora Moutarde Forte Bocal 430g,7.7,3.8,100g,4.9,0.7,2.0,,,,
Panzani,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Condiments,Plantes condimentaires,en:Herbs and spices,Plantes aromatiques,Herbes aromatiques,Sauces,Sauces pour pâtes,Sauces Pesto,Basilic,en:Cooking Sauces,Pestos au basilic,Pesto Vert","France, Romania, Switzerland, en:reunion",329.0,31.0,on,100g,e,Panzani sauce pesto basilic 200g,3.8,1.8,100g,2.8,4.5,3.5,"{'alcohol_100g': 0, 'beta-carotene_100g': 0.00128812125, 'calcium_100g': 0.17285765, 'chloride_100g': 0.00039435, 'cholesterol_100g': 0, 'copper_100g': 0.0002197675, 'fructose_100g': 0.024165, 'galactose_100g': 0.11235, 'glucose_100g': 0.026125, 'iodine_100g': 3.474475e-05, 'iron_100g': 0.00229185, 'lactose_100g': 0.0069, 'magnesium_100g': 0.0327872, 'maltose_100g': 0.00825, 'manganese_100g': 0.00054813655, 'pantothenic-acid_100g': 0.000103975, 'phosphorus_100g': 0.0358545, 'phylloquinone_100g': 0.00017057025, 'polyols_100g': 0.000625, 'potassium_100g': 0.147500425, 'selenium_100g': 3.328e-06, 'starch_100g': 0.63515, 'sucrose_100g': 2.14112, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 1.94625e-05, 'vitamin-b2_100g': 3.26525e-05, 'vitamin-b6_100g': 8.1205e-05, 'vitamin-b9_100g': 2.92015e-05, 'vitamin-c_100g': 0.006035425, 'vitamin-d_100g': 3.0225e-08, 'vitamin-e_100g': 0.013559295, 'vitamin-pp_100g': 0.00043315, 'water_100g': 57.7107455, 'zinc_100g': 0.0004680545}",,,
Coca-Cola,"Getränke und Getränkezubereitungen,Getränke,Kohlensäurehaltige Getränke,Getränke mit Süßstoff,Erfrischungsgetränke,Kalorienarme Getränke,Cola,Kalorienarme Erfrischungsgetränke,Kalorienarme Colas","Austria, Belgium, Bulgaria, France, Germany, Italy, Morocco, Poland, Romania, Spain, Switzerland, United Kingdom, en:united-arab-emirates",0.303030303030303,0.0,on,100g,c,Coca-Cola Zero Sugar,0.0,,,0.02,0.0,0.0,,,,
la boulangère,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks sucrés,Biscuits et gâteaux,en:Sweet pastries and pies,Pains,Viennoiseries,Pains au lait",France,345.0,11.0,on,100g,d,Pain au lait bio x12 420g,9.4,2.4,100g,0.9,1.2,8.7,"{'alcohol_100g': 0.0142223958333321, 'beta-carotene_100g': 3.15898958333333e-06, 'calcium_100g': 0.0410708022916667, 'cholesterol_100g': 0.0997106052083333, 'copper_100g': 0.000133101421875, 'fructose_100g': 0.0605229166666667, 'galactose_100g': 0, 'glucose_100g': 0.10961875, 'iodine_100g': 1.50274333333333e-05, 'iron_100g': 0.00140104834375, 'lactose_100g': 0.455892916666667, 'magnesium_100g': 0.0343843515625, 'maltose_100g': 0.455194166666667, 'manganese_100g': 0.000925322691666667, 'pantothenic-acid_100g': 0.000631307916666667, 'phosphorus_100g': 0.152783710416667, 'phylloquinone_100g': 3.19958333333333e-07, 'polyols_100g': 0, 'potassium_100g': 0.166380509375, 'selenium_100g': 6.65549729166667e-06, 'starch_100g': 24.6751979166667, 'sucrose_100g': 1.63244958333333, 'vitamin-a_100g': 4.566767625e-05, 'vitamin-b12_100g': 4.04247916666667e-07, 'vitamin-b1_100g': 0.000145580333333333, 'vitamin-b2_100g': 0.000131692, 'vitamin-b6_100g': 8.84858802083333e-05, 'vitamin-b9_100g': 2.08080291666667e-05, 'vitamin-c_100g': 0.000213632291666667, 'vitamin-d_100g': 5.55911458333333e-07, 'vitamin-e_100g': 0.0118414654583333, 'vitamin-pp_100g': 7.62675833333332e-05, 'water_100g': 31.90242365625, 'zinc_100g': 0.00109795035416667}",,,
Gerblé,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Crispy biscuits,Diet crispy biscuit,Dry biscuits,Shortbread cookies,Breakfast biscuit,Shortbread biscuit with fruits","France,Guadeloupe,Martinique,Réunion",442.857142857143,14.0,on,100g,c,Biscuit soja orange,11.0,5.1,,0.36,1.4,18.0,,,,
Quaker,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Desayunos,Cereales y patatas,Cereales y derivados,Cereales para el desayuno,Muesli,en:Cereals with nuts,en:Mueslis with nuts","Bélgica,Francia,Nueva Caledonia,España,Suiza",420.0,11.0,on,100g,b,Muesli Croustillant Noix de pécan & noix du Brésil,11.0,13.0,100g,0.24,1.8,13.0,,,,
Lesieur,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Huiles,Huile de table,Mélanges d'huiles","France,Maroc",900.0,100.0,on,100g,c,"Huile de table équilibrée riche en vitamines A,E,D3",0.0,,100ml,0.0,15.0,0.0,,,,
Heudebert,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Multigrain rusks","Belgium,France,Réunion,Switzerland",392.857142857143,7.6,on,100g,d,Biscottes 6 Céréales,13.0,5.2,,1.6,2.3,3.2,,,,
ProActiv,"Plant-based foods and beverages,Plant-based foods,Fats,Spreads,Plant-based spreads,Salted spreads,Vegetable fats,Spreadable fats,Margarines,Light margarines,Margarines with plant sterols esters,Salted margarines,30-40% lightly salted vegetable fat with plant sterols esters","France,Switzerland",314.0,35.0,on,100g,c,Tartine sans huile de palme,0.5,,,0.2,7.6,0.5,,,,
Albane,"Dairies, fr:Maroc, en:milks",en:Morocco,46.0,1.5,on,100g,b,Le bon lait,3.0,,100g,0.0,1.0,0.0,,,,
"Nestlé, Chocapic","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux,Céréales pour petit déjeuner riches en fibres",France,384.0,4.4,on,100g,b,NESTLE CHOCAPIC Céréales 645g,8.5,7.7,100g,0.2,1.1,19.9,,,,
Ethiquable,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","France,Spain",619.0,51.0,on,100g,d,Chocolat noir 85% Madagascar,11.0,11.0,100g,0.0,31.0,14.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.0005535, 'cholesterol_100g': 0, 'copper_100g': 8.25e-07, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 4.5e-08, 'iron_100g': 1.155e-05, 'lactose_100g': 0, 'magnesium_100g': 0.0002475, 'maltose_100g': 0, 'manganese_100g': 9.45e-07, 'pantothenic-acid_100g': 0, 'phosphorus_100g': 0, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.002025, 'selenium_100g': 7.5e-07, 'starch_100g': 0, 'sucrose_100g': 14.97, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 2.85e-06, 'vitamin-b6_100g': 0, 'vitamin-b9_100g': 0, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00153, 'vitamin-pp_100g': 0, 'water_100g': 0.0255, 'zinc_100g': 3e-06}",,,
Barilla,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Aliments et boissons à base de légumes,Condiments,Légumes et dérivés,Tomates et dérivés,Sauces,en:Meal sauces,Sauces tomate,Sauces tomates au basilic","Albanie,Autriche,Belgique,Bulgarie,France,Allemagne,Grèce,Italie,Luxembourg,Monténégro,Serbie,Espagne,Suisse",64.0,2.6,on,100g,a,Basilico,1.6,1.9,100g,0.9,0.3,5.9,"{'alcohol_100g': 0, 'beta-carotene_100g': 0.00159981416666667, 'calcium_100g': 0.0278591, 'cholesterol_100g': 0, 'copper_100g': 7.316475e-05, 'fructose_100g': 2.25323333333333, 'galactose_100g': 0.0054, 'glucose_100g': 2.11706666666667, 'iodine_100g': 1.48543333333332e-05, 'iron_100g': 0.000556216716666667, 'lactose_100g': 0.122416666666667, 'magnesium_100g': 0.018639625, 'maltose_100g': 0.122416666666667, 'manganese_100g': 9.44336666666667e-05, 'pantothenic-acid_100g': 8.033e-05, 'phosphorus_100g': 0.0322550833333333, 'phylloquinone_100g': 1.02235833333333e-05, 'polyols_100g': 0.195416666666667, 'potassium_100g': 0.34636975, 'selenium_100g': 7.91483333333334e-06, 'starch_100g': 0.175816666666667, 'sucrose_100g': 0.864833333333331, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 3.93416666666667e-05, 'vitamin-b2_100g': 3.37483333333333e-05, 'vitamin-b6_100g': 8.17266666666667e-05, 'vitamin-b9_100g': 3.30493333333333e-05, 'vitamin-c_100g': 0.0084545, 'vitamin-d_100g': 9.945e-08, 'vitamin-e_100g': 0.004331275, 'vitamin-pp_100g': 0.000795541666666667, 'water_100g': 84.4012316666667, 'zinc_100g': 0.000103735}",,,
Gerblé,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits","France,La Réunion",456.0,16.0,on,100g,c,Gingembre saveur citron 🍋,8.3,5.2,100g,0.44,1.4,17.0,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.09410714285715e-06, 'calcium_100g': 0.0229473, 'cholesterol_100g': 0, 'copper_100g': 0.000234532321428572, 'fructose_100g': 0.0919589285714286, 'galactose_100g': 0, 'glucose_100g': 0.0911955357142858, 'iodine_100g': 1.17379910714286e-05, 'iron_100g': 0.00204277415178571, 'lactose_100g': 0.0726450892857143, 'magnesium_100g': 0.0709156830357143, 'maltose_100g': 0.744745089285714, 'manganese_100g': 0.00200778582142857, 'pantothenic-acid_100g': 0.000414691741071429, 'phosphorus_100g': 0.188982330357143, 'phylloquinone_100g': 1.61277678571429e-06, 'polyols_100g': 0.00286272321428573, 'potassium_100g': 0.243566058035714, 'selenium_100g': 8.89906026785715e-06, 'starch_100g': 43.0453303571429, 'sucrose_100g': 16.6989647321429, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.000207977321428571, 'vitamin-b2_100g': 2.10783258928572e-05, 'vitamin-b6_100g': 0.000120125133928571, 'vitamin-b9_100g': 2.19962723214286e-05, 'vitamin-c_100g': 0.000523231026785716, 'vitamin-d_100g': 1.01385491071429e-07, 'vitamin-e_100g': 0.00411474129464286, 'vitamin-pp_100g': 0.000695893973214286, 'water_100g': 10.2292033482143, 'zinc_100g': 0.00159576758928571}",,,
Bjorg,"Snacks,Breakfasts,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits,Oatmeal biscuits,Breakfast biscuit,Plain rolled oats biscuits",France,442.0,15.0,on,100g,c,Avoine complète,9.1,7.5,100g,0.35,1.4,16.0,,,,
Maître Jean Pierre,Petits pains grillés,France,408.0,10.0,on,100g,b,Petit Pains Grillés Blé complet,10.0,6.9,100g,1.0,0.9,4.2,"{'alcohol_100g': 0, 'beta-carotene_100g': 4.52604166666667e-06, 'calcium_100g': 0.0258727916666667, 'cholesterol_100g': 3.64583333333335e-06, 'copper_100g': 0.000257230416666667, 'fructose_100g': 0.0910416666666667, 'galactose_100g': 0, 'glucose_100g': 0.093125, 'iodine_100g': 1.84104166666667e-05, 'iron_100g': 0.00202710416666667, 'lactose_100g': 0.0910416666666667, 'magnesium_100g': 0.0673295416666667, 'maltose_100g': 0.958916666666667, 'manganese_100g': 0.00199004583333333, 'pantothenic-acid_100g': 0.000485541666666667, 'phosphorus_100g': 0.209498333333333, 'phylloquinone_100g': 4.52333333333333e-06, 'polyols_100g': 0, 'potassium_100g': 0.270098, 'selenium_100g': 9.5025e-06, 'starch_100g': 53.4085416666667, 'sucrose_100g': 2.58420833333334, 'vitamin-a_100g': 1.09375e-07, 'vitamin-b12_100g': 3.54166666666668e-09, 'vitamin-b1_100g': 0.000354833333333334, 'vitamin-b2_100g': 1.53125e-05, 'vitamin-b6_100g': 0.000108166666666667, 'vitamin-b9_100g': 3.03904166666667e-05, 'vitamin-c_100g': 0.000227604166666667, 'vitamin-d_100g': 1.18354166666667e-07, 'vitamin-e_100g': 0.00232785416666667, 'vitamin-pp_100g': 0.000237708333333334, 'water_100g': 11.21576, 'zinc_100g': 0.00179987333333333}",,,
,,en:Morocco,,,,,,,,,,,,,,,,
Danone,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Bifidus yogurts, en:yogurts","France, Morocco, Spain, en:united-states",101.0,3.3,on,100g,c,Activia Céréales,3.4,1.53,100g,0.0,2.0,14.3,,,,
Old El Paso,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains plats, Pains blancs, Pains de blé, Tortillas de blé","Francia,España",294.827586206897,6.03448275862069,on,100g,c,Blé Complet Wraps,9.13793103448276,5.17241379310345,,1.05172413793103,1.03448275862069,2.24137931034483,,,,
,Creme de cuisson,"France, en:morocco",205.0,20.0,on,100g,d,Ola Creme Cuisdon,1.7,,100g,0.25,10.6,1.6,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.00678072, 'cholesterol_100g': 0, 'copper_100g': 1.64e-05, 'fiber_100g': 0.0064, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 9.6e-09, 'iron_100g': 3.2352e-05, 'lactose_100g': 0, 'magnesium_100g': 0.00098104, 'maltose_100g': 0, 'manganese_100g': 5.10832e-06, 'pantothenic-acid_100g': 0, 'phosphorus_100g': 0.000448, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.00093128, 'selenium_100g': 5.704e-07, 'starch_100g': 0.696, 'sucrose_100g': 1.5968, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 3.68e-07, 'vitamin-b6_100g': 4e-08, 'vitamin-b9_100g': 8e-09, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0, 'vitamin-pp_100g': 2.4e-07, 'water_100g': 93.6768, 'zinc_100g': 1.2856e-05}",,,
Bjorg,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Dairy substitutes,Milk substitutes,Nuts and their products,Plant-based beverages,Plant-based milk alternatives,Nut-based drinks,Almond-based drinks,Sweetened plain almond-based drinks","France,Morocco,Réunion,Switzerland",29.0,1.2,on,100g,c,Amande,0.5,,100ml,0.06,0.2,3.3,,,,
"LU,Mondelez","Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat,Biscuits secs,Biscuit sec pour petit déjeuner,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux","Belgium, France, Guadeloupe, Luxembourg, Switzerland, La-reunion, en:reunion",439.0,14.0,on,100g,d,Belvita Petit Déjeuner Chocolat,7.9,6.8,100g,0.62,3.6,27.0,,,,
"Natu' & Bon,Vico","Snacks,Snacks salés,Amuse-gueules,Biscuits sucrés & biscuits apéritifs,Chips et frites,Chips,Biscuits apéritifs,Chips de lentilles,Biscuits apéritifs soufflés",France,452.0,19.0,on,100g,c,Chips de lentilles saveur tomate mozza,13.0,7.2,100g,1.1,1.8,3.8,,,,
Rigoni di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",France,545.0,33.0,on,100g,e,Nocciolata la bianca,14.5,2.8,100g,0.19,4.6,43.0,"{'alcohol_100g': 1.35027083333333, 'beta-carotene_100g': 5.30375e-06, 'calcium_100g': 0.2742825, 'cholesterol_100g': 0.00247, 'copper_100g': 0.000526077291666667, 'fructose_100g': 0.03038, 'galactose_100g': 0.03038, 'glucose_100g': 0.09038, 'iodine_100g': 5.7675e-06, 'iron_100g': 0.000983714583333333, 'lactose_100g': 10.119, 'magnesium_100g': 0.0698323958333333, 'maltose_100g': 0.03038, 'manganese_100g': 0.0010212, 'pantothenic-acid_100g': 0.001157, 'phosphorus_100g': 0.286463541666667, 'phylloquinone_100g': 1.94e-07, 'polyols_100g': 0, 'potassium_100g': 0.582155208333333, 'selenium_100g': 7.88666666666667e-06, 'starch_100g': 0.054, 'sucrose_100g': 22.1720466666667, 'vitamin-a_100g': 1.8525e-06, 'vitamin-b12_100g': 7.638e-07, 'vitamin-b1_100g': 0.0001867, 'vitamin-b2_100g': 0.000315358333333333, 'vitamin-b6_100g': 0.000143579791666667, 'vitamin-b9_100g': 2.6305e-05, 'vitamin-c_100g': 0.001234, 'vitamin-d_100g': 6.0295e-08, 'vitamin-e_100g': 0.01292163, 'vitamin-pp_100g': 0.0003859, 'water_100g': 5.24516666666667, 'zinc_100g': 0.00154936666666667}",,,
Cassegrain,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Conserves,Plats préparés,Légumes préparés,Plats préparés en conserve,Ratatouilles, en:Vegetables - Prepared/Processed (Shelf Stable)",France,72.0,4.1,on,100g,c,Ratatouille Cuisinée à la Provençal,1.3,3.4,100g,0.81,0.6,5.5,,,,
,,en:Morocco,,,,,,,,,,,,,,,,
"Jardin bio,Léa Nature","Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao","Belgique,France,Guadeloupe,Luxembourg,Maroc,La Réunion,Suisse",557.0,34.0,on,100g,e,Pâte à tartiner chocolat noisette,6.2,3.3,100g,0.06,5.6,52.0,,,,
Jordans,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Breakfast cereals rich in fibre,Crunchy cereal clusters,Cereal clusters with chocolate","France,Réunion,Switzerland",446.0,15.0,on,100g,d,Country Crisp - Chocolat noir 70% cacao,9.0,5.8,100g,0.03,3.8,22.0,,,,
Poulain,"Boissons,Cacao et dérivés,Préparations pour boissons,Boissons instantanées,Chocolats en poudre","Canada,France,French Polynesia",,,,100g,e,1848,,,100g,,,,,,on,
Céréal BIO,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Alternatives à la viande,Galettes végétariennes,Galettes de céréales aux légumes",France,171.818181818182,5.4,on,100g,b,Les Galettes Boulgour & Quinoa - Tomate & Paprika,7.5,5.0,,0.95,0.6,3.8,"{'alcohol_100g': 0, 'beta-carotene_100g': 8.75680833333333e-05, 'calcium_100g': 0.0309395166666667, 'chloride_100g': 0.00259, 'cholesterol_100g': 0, 'copper_100g': 0.000267600158333333, 'fructose_100g': 0.691634, 'galactose_100g': 0, 'glucose_100g': 0.670333333333333, 'iodine_100g': 9.84323333333339e-06, 'iron_100g': 0.00205757560166667, 'lactose_100g': 0.048425, 'magnesium_100g': 0.105467958333333, 'maltose_100g': 0.256751666666667, 'manganese_100g': 0.00206382833333333, 'pantothenic-acid_100g': 0.000165495, 'phosphorus_100g': 0.227150816666667, 'phylloquinone_100g': 8.92015e-07, 'polyols_100g': 0.11075, 'potassium_100g': 0.3700474, 'selenium_100g': 3.80799166666667e-06, 'starch_100g': 39.1114383333333, 'sucrose_100g': 0.390713333333333, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 7.24031666666667e-05, 'vitamin-b2_100g': 5.56833333333333e-05, 'vitamin-b6_100g': 0.000282068333333333, 'vitamin-b9_100g': 3.68870166666667e-05, 'vitamin-c_100g': 0.010940075, 'vitamin-d_100g': 1.3975e-08, 'vitamin-e_100g': 0.00363189083333333, 'vitamin-pp_100g': 0.0003384375, 'water_100g': 26.3817841666667, 'zinc_100g': 0.00174614433333333}",,,
Pasquier,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Biscottes,Pains grillés,Biscottes complètes",France,384.0,6.2,on,100g,a,Biscottes Sans sucres ajoutés Blé complet,14.0,12.0,100g,1.1,0.7,3.4,"{'alcohol_100g': 0, 'beta-carotene_100g': 5e-06, 'calcium_100g': 0.027, 'cholesterol_100g': 0, 'copper_100g': 0.00028, 'fructose_100g': 0.1, 'galactose_100g': 0, 'glucose_100g': 0.1, 'iodine_100g': 1e-05, 'iron_100g': 0.0022, 'lactose_100g': 0.1, 'magnesium_100g': 0.073, 'maltose_100g': 1.04, 'manganese_100g': 0.0022, 'pantothenic-acid_100g': 0.00048, 'phosphorus_100g': 0.22, 'phylloquinone_100g': 4e-07, 'polyols_100g': 0, 'potassium_100g': 0.28, 'selenium_100g': 1e-05, 'starch_100g': 59.3, 'sucrose_100g': 0.56, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00026, 'vitamin-b2_100g': 5e-06, 'vitamin-b6_100g': 0.00011, 'vitamin-b9_100g': 2.57e-05, 'vitamin-c_100g': 0.00025, 'vitamin-d_100g': 1.3e-07, 'vitamin-e_100g': 0.00079, 'vitamin-pp_100g': 5e-05, 'water_100g': 12.4, 'zinc_100g': 0.0019}",,,
J.D. Gross,"Plant-based foods and beverages,Plant-based foods,Snacks,Fats,Sweet snacks,Cocoa and its products,Vegetable fats,Chocolates,Dark chocolates",France,639.0,55.3,on,100g,d,Chocolat noir Equateur Bio,9.0,11.5,100g,0.01,34.0,14.0,"{'alcohol_100g': 1.23375, 'beta-carotene_100g': 0, 'calcium_100g': 0.000415125, 'cholesterol_100g': 0, 'copper_100g': 1.48125e-06, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0, 'iodine_100g': 3.375e-08, 'iron_100g': 1.35375e-05, 'lactose_100g': 0, 'magnesium_100g': 0.000373125, 'maltose_100g': 0, 'manganese_100g': 1.870875e-05, 'pantothenic-acid_100g': 0, 'phosphorus_100g': 0.000825, 'phylloquinone_100g': 0, 'polyols_100g': 0, 'potassium_100g': 0.00519375, 'selenium_100g': 5.625e-07, 'starch_100g': 0, 'sucrose_100g': 11.2275, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0, 'vitamin-b2_100g': 2.1375e-06, 'vitamin-b6_100g': 7.125e-07, 'vitamin-b9_100g': 0, 'vitamin-c_100g': 0, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00153, 'vitamin-pp_100g': 0, 'water_100g': 2.437875, 'zinc_100g': 4.5e-06}",,,
"Ekibio, Le pain des fleurs","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées","Belgique,France,Espagne,Suisse",385.714285714286,2.85714285714286,on,100g,a,Tartines craquantes au sarrasin,12.8571428571429,4.28571428571429,100g,0.671428571428571,0.0,2.85714285714286,"{'alcohol_100g': 0, 'beta-carotene_100g': 0, 'calcium_100g': 0.02532508, 'cholesterol_100g': 0, 'copper_100g': 0.000489866, 'fructose_100g': 0, 'galactose_100g': 0, 'glucose_100g': 0.00732, 'iodine_100g': 1.4106e-05, 'lactose_100g': 0, 'maltose_100g': 0.0976, 'manganese_100g': 0.0012703156, 'pantothenic-acid_100g': 0.0014152, 'phosphorus_100g': 0.25776, 'phylloquinone_100g': 6.832e-06, 'polyols_100g': 0, 'potassium_100g': 0.381062, 'selenium_100g': 4.8484e-06, 'starch_100g': 66.7584, 'sucrose_100g': 1.220048, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 0.00037088, 'vitamin-b2_100g': 0.000146628, 'vitamin-b6_100g': 0.00044896, 'vitamin-b9_100g': 6.51968e-05, 'vitamin-c_100g': 0.000244, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.00031232, 'vitamin-pp_100g': 0.004636, 'water_100g': 11.85664, 'zinc_100g': 0.002246096}",,,
LU,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits","Belgium,France,French Polynesia,Réunion,Switzerland",444.0,15.0,on,100g,d,Belvita Original Petit-Déjeuner miel et pépites de chocolat,7.3,5.7,100g,0.69,2.5,28.0,,,,
"LU, Mondelez, Mondelez International",Gâteaux,France,,,,100g,a,Napolitain l'Original,,,,,,,,,on,
,"La-prairie,La-prairie,Matiere grasse à tartiner",en:morocco,635.0,70.0,on,100g,unknown,margarine,1.0,,100g,1.75,,,,,,
"Côte d'Or,Mondelēz","Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum","Belgique,France,Italie,Maroc",600.0,46.5,on,100g,e,Noir 70% Intense,7.0,11.0,100g,0.05,29.0,28.0,,,,
Nature valley,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Botanas,Cereales y patatas,Snacks dulces,Barritas,Barritas de cereales","Belgium, France, Germany, Ireland, Netherlands, Spain, Switzerland, United Kingdom, en:greece",452.380952380952,18.0952380952381,on,100g,d,Crunchy oats&honey,8.57142857142857,6.42857142857143,,0.846428571428571,2.14285714285714,26.9047619047619,,,,
Bonduelle,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetable-based foods and beverages,Vegetables based foods,Vegetables,Prepared vegetables,Carrots,Grated carrots,Vegetables - Prepared/Processed (Perishable),fr:Crudites","Belgium,France,Luxembourg",73.0,4.5,on,100g,a,Carottes rapees citron dnp 320g,1.0,3.0,100g,0.71,0.3,4.5,"{'alcohol_100g': 0.0055625, 'beta-carotene_100g': 0.0067149027125, 'calcium_100g': 0.0213296840625, 'cholesterol_100g': 0, 'copper_100g': 4.3547759375e-05, 'fructose_100g': 0.7315434375, 'galactose_100g': 0, 'glucose_100g': 0.8934349375, 'iodine_100g': 2.0358059375e-05, 'iron_100g': 0.00021165909375, 'lactose_100g': 0.082423175, 'magnesium_100g': 0.0085965553125, 'maltose_100g': 0.08241775, 'manganese_100g': 8.6183823125e-05, 'pantothenic-acid_100g': 0.00016212341875, 'phosphorus_100g': 0.01841304375, 'phylloquinone_100g': 6.3636625e-06, 'polyols_100g': 0.2025, 'potassium_100g': 0.188345565625, 'selenium_100g': 8.5002240625e-06, 'starch_100g': 0.324, 'sucrose_100g': 4.6302244375, 'vitamin-a_100g': 0, 'vitamin-b12_100g': 0, 'vitamin-b1_100g': 2.273560625e-05, 'vitamin-b2_100g': 4.326425e-06, 'vitamin-b6_100g': 7.541613125e-05, 'vitamin-b9_100g': 4.81275625e-05, 'vitamin-c_100g': 0.00170804125, 'vitamin-d_100g': 0, 'vitamin-e_100g': 0.0017597159375, 'vitamin-pp_100g': 4.077125e-05, 'water_100g': 82.5477752875, 'zinc_100g': 0.0001495315875}",,,
Maître Jean Pierre,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pains de mie aux céréales,en:Pain de mie",France,290.0,9.4,on,100g,b,Pain de mie grandes tranches 7 cereales,10.4,5.0,100g,1.0,1.0,3.4,,,,
